item_id,text,gold_label,sample_type,strategy,strategy_raw,original_text_ref
ENEG_0070,I feel sick to my stomach. everyone is finding out that they got in places that I applied to and I'm not hearing anything.,False,easy_negative,self_affirmation,['self_affirmation'],I feel sick to my stomach. everyone is finding out that they got in places that I applied to and I'm not hearing anything.
POS_0103,"I'm tired of living week to week, I'm going to change my life!",True,positive,growth,"['growth', 'optimism']","keep getting over a stupid job, but I'm living week to week, which is stressful I've gotta change my SelfTalk"
HNEG_0070,"It is normal to have it easier to focus on fitness when there is no school, because everything has it's own time.",False,hard_negative,neutralizing,['neutralizing'],Well it was easier for me to focus on fitness when I wasn't in school stressed already
HNEG_0055,Teachers ought to give more time to students for project work. This would result in a smooth and timely completion of projects.,False,hard_negative,neutralizing,['neutralizing'],Project project project~~.. Y cant teacher assign us earlier instead of at the point of time!? Made us really rush hard!
ENEG_0072,I miss half of my sons life.. Just to work.. Ill never know how to explain it to him.. An it will always eat me alive,False,easy_negative,optimism,"['neutralizing', 'optimism']",I miss half of my sons life.. Just to work.. Ill never know how to explain it to him.. An it will always eat me alive
ENEG_0066,The mixed emotions about my wedding being in 92 days is unreal. happy sad confused,False,easy_negative,neutralizing,['neutralizing'],The mixed emotions about my wedding being in 92 days is unreal. happy sad confused
POS_0038,I will go to the school with more personal growth potential.,True,positive,growth,['growth'],"Seriously don't know whether to go to Hofstra with 11,000 dollars a year scholarship to a 40,000+ dollars tuition or OCC."
HNEG_0008,Having the need of someone else in hard times is a feeling which is normal for people to have.,False,hard_negative,neutralizing,['neutralizing'],I want my mummy to hold me and tell me everything is going to be ok.
HNEG_0023,"I know my house won't burn, so I'll sleep peacefully",False,hard_negative,neutralizing,['neutralizing'],Cant sleep because Im afraid of burning down the house even though Ive checked the oven and stove at least 10 times and they are off
ENEG_0020,"i haven't tweeted enough, i know and it sucks but my school is driving me crazy i won't even be able to watch the episode tmrrw:(",False,easy_negative,growth,"['growth', 'neutralizing', 'optimism']","i haven't tweeted enough, i know and it sucks but my school is driving me crazy i won't even be able to watch the episode tmrrw:("
POS_0001,"My homework isn't done yet, but it will be perfectly done as soon as possible.",True,positive,optimism,['optimism'],None of my homework's done. Not even Swords. I barely have half of it done
HNEG_0074,I am sorry I popped a high e string on my guitar just when I want to do @ 10:04 p.m.,False,hard_negative,neutralizing,['neutralizing'],Popped the high e string on my guitar Just what I want to do @ 10:04p.m change a stupid e string!!! enragged
ENEG_0026,"people are getting by the none healing mentalcare system with no results, getting secret brainwash therapy to deny cause, a trap",False,easy_negative,optimism,['optimism'],"people are getting by the none healing mentalcare system with no results, getting secret brainwash therapy to deny cause, a trap"
POS_0144,"I have a lot of things to do, but I'm going to learn a lot from managing multiple jobs at once, I can do this.",True,positive,growth,"['growth', 'neutralizing', 'optimism']","Trying to organise handing over the accounts in my current flat, moving into my new flat, desperately trying to finish up a project in the lab, applying for an extension for my funding AND having to look into getting a visa is all feeling a bit overwhelming."
POS_0133,There may be a few classes that havent been filled if not I can ask if theres any extra places,True,positive,growth,"['growth', 'optimism']",I don't even wanna look at the class registration because I know all my classes will be filled
ENEG_0021,When people are involved in more things than I am I always wonder how they do it.,False,easy_negative,self_affirmation,['self_affirmation'],When people are involved in more things than I am I always wonder how they do it.
HNEG_0056,"I was just busy with moving! Sorry if I missed any of your messages and/or posts, I'll try to make up for it soon",False,hard_negative,neutralizing,['neutralizing'],"I'm not dead, just busy with moving! Sorry if I missed any of your messages and/or posts, I'll try to make up for it soon"
POS_0086,"I need to relax and take things slowly, everything will work out in the end! I'm sure of it!",True,positive,growth,"['growth', 'impermanence', 'optimism']",How am I supposed to focus on school when tens of thousands of other things are running through my head..?
POS_0005,Going to my homeland in makati to get some magnet that is the place which makes me happy.,True,positive,growth,"['growth', 'neutralizing']",going to my homeland in makati to get some magnet ~rare magnet cavite didn't have it :(
ENEG_0058,"5 unit finals the next two weeks and 3 midterms and 2 finals in the two weeks after is not my idea of ""easing back into it",False,easy_negative,optimism,['optimism'],"5 unit finals the next two weeks and 3 midterms and 2 finals in the two weeks after is not my idea of ""easing back into it"
POS_0123,"I need to learn not to look at other people's business, I will be more appreciated that way.",True,positive,growth,['growth'],This morning I see a man standing just in his boxers shaking tryna hail down cabs
HNEG_0040,The Lakers have lots of money to spend but it's mostly on these average players.,False,hard_negative,neutralizing,['neutralizing'],The lakers really got money to blow tho.. And it's on average players nobody all-star worthy
POS_0034,Going to try to get my grades up or at least get through Monday n Tuesday,True,positive,growth,"['growth', 'impermanence']",Gotta serve fed next week my grades ain't A1 n prolly two days of Iss Monday n Tuesday Stressed
ENEG_0006,Wow! What a busy day! Feel a little stressed i must admit! Roll on 5:30,False,easy_negative,optimism,"['neutralizing', 'optimism']",Wow! What a busy day! Feel a little stressed i must admit! Roll on 5:30
HNEG_0031,Broke down en route to Portsmouth but someone is on their way to help. Soon I'll be back on route to see bad 3 points!,False,hard_negative,impermanence,['impermanence'],Broken down en route to Portsmouth! Gutted I'm gonna miss bag 3 points!! Hurry up mr breakdown man!
ENEG_0027,If I wait till ten to get the bus I'm cutting it really close. I don't know what to do. Argh,False,easy_negative,growth,"['growth', 'neutralizing', 'optimism']",If I wait till ten to get the bus I'm cutting it really close. I don't know what to do. Argh
POS_0107,"Putting in these long hours shows that I am determined, and will help me in the long run.",True,positive,self_affirmation,['self_affirmation'],I put in these long hours in my classroom and I wonder if it makes a difference.
POS_0115,I'm going to learn to take all of my energy and use it to calm myself down instead of worrying.,True,positive,growth,['growth'],It feels like someone's tightening a necktie way too tight against the front of my throat. Worried immensely.
POS_0048,I will get better at selecting clothes for men and not complain as much.,True,positive,growth,"['growth', 'neutralizing']",men are such pains to clothes shop with neveragain .. cuppa tea and my monkey onesie are in order. x
ENEG_0028,I want to shove a box of tissues up the nose of the guy sitting next to me. STOP SNIFFING.,False,easy_negative,growth,"['growth', 'neutralizing', 'optimism']",I want to shove a box of tissues up the nose of the guy sitting next to me. STOP SNIFFING.
ENEG_0017,Got a lot on my plate these days. If you see me looking like a chicken with its head cut off PLEASE give me some encouraging words,False,easy_negative,thankfulness,"['neutralizing', 'thankfulness']",Got a lot on my plate these days. If you see me looking like a chicken with its head cut off PLEASE give me some encouraging words
ENEG_0051,When it's only week 3 of classes but you already are having a mental breakdown,False,easy_negative,growth,['growth'],When it's only week 3 of classes but you already are having a mental breakdown
POS_0073,I would love to have a good night's sleep so that I can start tomorrow with a better frame of mind.,True,positive,optimism,['optimism'],So disappointed for so many reasons. Anxiety is running high and I cant sleep. Everyone is asleep
ENEG_0043,Im surprised i managed to stick to my diet last night whilst at the meal. Im in the worst mood ever though,False,easy_negative,optimism,"['impermanence', 'optimism']",Im surprised i managed to stick to my diet last night whilst at the meal. Im in the worst mood ever though
POS_0100,I am stressed out! I hope my friends would help me get out of this.,True,positive,optimism,['optimism'],Under way to much stress:( I feel like I'm gunna have a heart attack sooner or later .
ENEG_0036,"this stuffy nose shxt gota go -_- I'm like completely unable to breath out my mouth , I'm dying",False,easy_negative,optimism,"['neutralizing', 'optimism']","this stuffy nose shxt gota go -_- I'm like completely unable to breath out my mouth , I'm dying"
HNEG_0009,Things are tough right now but it'll soon be the weekend and I can kick back and relax.,False,hard_negative,impermanence,['impermanence'],May only be a short week but it's bloody tough so far! roll on the weekend..
HNEG_0058,Who says being a teenager is easy? Teenage years have their own share of ups and downs.,False,hard_negative,neutralizing,['neutralizing'],I hate when people tell me not to be stressed. I'm a teenager. Try being me for a week and not being the least bit stressed.
POS_0055,My friend asked me if I wanted to go out but I'm busy.  I'll let them know I can hang out sometime later.,True,positive,growth,"['growth', 'optimism']",Honestly hate when ppl hit you up last minute with plans nd you happen to be busy for the first time in your life <;<; ugh
POS_0006,"Maybe the fact that I was so upset during finals was that I didn't study enough, I need to improve for the next one.",True,positive,growth,"['growth', 'neutralizing', 'optimism']","I've never been so upset during finals week before, and the fact that it had nothing to do with finals made it worse"
ENEG_0044,not in the mood for anything. every little thing is stressing me out. sick of it.,False,easy_negative,neutralizing,['neutralizing'],not in the mood for anything. every little thing is stressing me out. sick of it.
POS_0026,"I didn't work out or stick to my diet last week, but I'm so grateful I didn't gain any weight :)",True,positive,thankfulness,['thankfulness'],Is it good or bad that I didn't work out last week or stick to my diet yet I didn't gain any weight? sick
ENEG_0008,I hate having to struggle to stay on top of my bills. I need a new job,False,easy_negative,thankfulness,['thankfulness'],I hate having to struggle to stay on top of my bills. I need a new job
POS_0113,I wish that I could wake up with strengh to face the things I still have to do.,True,positive,growth,"['growth', 'self_affirmation']",I wish that I could wake up with amnesia. And forget about the shit I still have to do
POS_0139,I'm getting organized so that everything runs smoothly throughout the week.,True,positive,optimism,['optimism'],Feeling overwhelmed with everything I need to do in the next few weeks need to make a plan of action and stay awake to get it all done
HNEG_0003,Bringing my stuff from the UKcould be easier,False,hard_negative,neutralizing,['neutralizing'],FFS. All I want to do is to get my stuff shipped over here from the UK why is everything ridiculously difficult.
POS_0105,"I am tired of this place, but hereafter I won't be like this I am going to live a new life.",True,positive,growth,['growth'],I'm tired of this place. God show me where I need to be the next 4 years of my life. I need confirmation
ENEG_0059,So tired beyond belief.. Looks like someone is gonna be skipping the first few periods!,False,easy_negative,growth,['growth'],So tired beyond belief.. Looks like someone is gonna be skipping the first few periods!
HNEG_0039,"I left my bag in my van from Burbank, I'm hoping that they are able to find it once the driver can be contacted.",False,hard_negative,neutralizing,['neutralizing'],Left a bag in my van from Burbank. Local office said they couldn't call the driver because he clocked out.
ENEG_0007,I hate how my face is breaking out like a mofo the week before prom :(,False,easy_negative,optimism,"['neutralizing', 'optimism']",I hate how my face is breaking out like a mofo the week before prom :(
ENEG_0018,How bad would it be to live off bottled water and diet Dr Pepper for the next three weeks? Asking for me. threeweeksuntilthebigtest,False,easy_negative,thankfulness,['thankfulness'],How bad would it be to live off bottled water and diet Dr Pepper for the next three weeks? Asking for me. threeweeksuntilthebigtest
POS_0046,I feel good that I will have a new beginning though.,True,positive,growth,"['growth', 'optimism']",Worst part of starting a new job is quitting your old one still trying to figure out how to tell my boss I'm leaving
ENEG_0031,Trying so hard to avoid the thoughts of exams unfortunately they have snuck up on me.,False,easy_negative,optimism,"['neutralizing', 'optimism']",Trying so hard to avoid the thoughts of exams unfortunately they have snuck up on me.
ENEG_0003,i cant do everything by myself but i dont feel like reaching out to anybody .. its not their problem :/,False,easy_negative,growth,['growth'],i cant do everything by myself but i dont feel like reaching out to anybody .. its not their problem :/
HNEG_0067,Not a fan of this 10 page research paper but it's gotta get done,False,hard_negative,impermanence,['impermanence'],This 10 page research paper literally fucking sucks.. And that is the complete best way I can put it
ENEG_0011,"Really wouldn't hate about 10 buddies over at the house, big ass bonfire, loud speaker, cold beer and a lip in",False,easy_negative,optimism,['optimism'],"Really wouldn't hate about 10 buddies over at the house, big ass bonfire, loud speaker, cold beer and a lip in"
POS_0132,"1 assignment down, 1 more thing ticked off my list. Making positive progress.",True,positive,thankfulness,['thankfulness'],"1 assignment down, just a million other things to finish in next 2 weeks tired"
POS_0065,"I go to bed early, and I'm still tired when I wake up. I'm going to go to the doctor to see what's happening.",True,positive,growth,['growth'],"Even when I go to bed early, I still wake up tired. Getting sick at an extremely inconvenient time."
HNEG_0057,"I must stop having unnecessary conversations that go nowhere, or I will keep getting angry.",False,hard_negative,neutralizing,"['impermanence', 'neutralizing']",I really do not want to have to keep having these conversations. They go no where and solve nothing. Nothing changes. pissedoff
POS_0042,I am grateful for 12 years and 4 kids with my husband but now a new chapter begins.. single and free.. nowd,True,positive,thankfulness,['thankfulness'],Husband just told me he was leaving me after 12 yrs and 4 kids .. guess nothing is what it seems to be .. single worried
POS_0131,I know I will get my surgery done if I just pray hard enough.,True,positive,self_affirmation,"['optimism', 'self_affirmation']",Seriously Ill put my bed on wheels and take it to Leeds if it means I can have my operation!  NHSCrisis
ENEG_0045,I'm tired of everything. I'm tired of stressing god I shouldn't feel this way. This all just needs to be over.,False,easy_negative,impermanence,['impermanence'],I'm tired of everything. I'm tired of stressing god I shouldn't feel this way. This all just needs to be over.
ENEG_0046,"Hve a head cold, atm. You know that's when your body is telling you that you've been overworking and stressing yourself. downtime",False,easy_negative,self_affirmation,['self_affirmation'],"Hve a head cold, atm. You know that's when your body is telling you that you've been overworking and stressing yourself. downtime"
ENEG_0002,hate how all that seems to be the talk in grade 12 is university and marks,False,easy_negative,growth,"['growth', 'optimism']",hate how all that seems to be the talk in grade 12 is university and marks
POS_0009,"While I just ate the worst carrot cake of my life, I am really glad I was able to raise my low blood sugar with it.",True,positive,optimism,['optimism'],I just ate the worst carrot cake of my entire life but I forced myself to eat some of it because I was having a low blood sugar
POS_0134,I am afraid I don’t approve of your lies. Hope you change for the better.,True,positive,optimism,"['neutralizing', 'optimism']",I can't believe this is my life so sick and tired of your bullshit and lies. so
POS_0099,A lot of things are happening but I figure everything happens for a reason.,True,positive,growth,"['growth', 'optimism']","Why?"" ""Why them?"" ""Why us?"" ""Why now?"" ""Why is this happening?"" ""Why?"" ""Why?"" ""Why?"" thoughts"
ENEG_0050,Its been a while since i sat in a class and genuinely had no idea wtf was going on,False,easy_negative,optimism,"['neutralizing', 'optimism', 'thankfulness']",Its been a while since i sat in a class and genuinely had no idea wtf was going on
HNEG_0006,I am having a headache because of the long to- do list. I wish we could stop and get sorted.,False,hard_negative,neutralizing,['neutralizing'],Worst headache ever and my to do list is as long as me!! Please can we just stop so I can get sorted!
ENEG_0041,Yes and that's why coz they go bonkers - trying to keep 28 kids under control is very hard on days like today.,False,easy_negative,self_affirmation,"['neutralizing', 'optimism', 'self_affirmation']",Yes and that's why coz they go bonkers - trying to keep 28 kids under control is very hard on days like today.
HNEG_0001,Feeling tired and stressed right now,False,hard_negative,neutralizing,['neutralizing'],So tired of being tired and stressed ALL the time! It doesn't make for a happy Kylie
HNEG_0007,All of a sudden I forget how to drive just turned off my car without putting it on park. School gots me fucked up already.,False,hard_negative,neutralizing,['neutralizing'],All of a sudden I forget how to drive  just turned off my car without putting it on park. School gots me fucked up already.
HNEG_0072,"I received a late alert about a fee, so it seems the alert system needs to be improved.",False,hard_negative,neutralizing,['neutralizing'],update your alert system because a failed alert didn't show up until 6 hours after I'd already received a fee
POS_0148,I keep my time busy so I can be productive!,True,positive,growth,['growth'],I can't remember the last time I didn't have anything to do and I have a game everyday this week and the SAT's and work Saturday..
HNEG_0060,Just one more week of commitments and I'll rest properly,False,hard_negative,impermanence,['impermanence'],Thank God fall break is next week 'cause Lord knows I need it. I feel like I have the stress level of a 30yr old  tired
POS_0031,"I don't know what to ask the boss at my job, but if I bring storm enough I will figure it out.",True,positive,optimism,"['neutralizing', 'optimism']",Trying to think of questions to ask the big boss of the company I work for is really hard and stressing me out! HELP! Imcrapatthis needhelp helpmehelpmehelpme
ENEG_0063,Anybody got a cat or dog I can hold for like a half hour today??,False,easy_negative,optimism,['optimism'],Anybody got a cat or dog I can hold for like a half hour today??
ENEG_0074,This morning has been so bad with all these doctors appointments and my phone not working tiered,False,easy_negative,growth,['growth'],This morning has been so bad with all these doctors appointments and my phone not working tiered
POS_0066,Although I barely pay the bills I have to thank for having a job,True,positive,thankfulness,['thankfulness'],I hate having to struggle to stay on top of my bills. I need a new job
HNEG_0027,"I am sorry about the school not getting cancelled, and I am looking forward to changing the schedule.",False,hard_negative,neutralizing,['neutralizing'],Sorry guys but school cant get canceled i gotta get my schedule changed before i go crazy!!!
ENEG_0042,All I can think of is how bad I'm going to fail my soc final.,False,easy_negative,optimism,['optimism'],All I can think of is how bad I'm going to fail my soc final.
HNEG_0059,"Today was a bad day and I still have revision to do, but soon my exams will all be finished :)",False,hard_negative,impermanence,['impermanence'],Thank god that days over. And still got revision to do! Fuck fuck fuck arghhhhhhhhhh!!!!
POS_0085,Worrying is only making me feel sick so I'm not going to stress over my applications.,True,positive,self_affirmation,['self_affirmation'],I feel sick to my stomach. everyone is finding out that they got in places that I applied to and I'm not hearing anything.
POS_0051,"Giving a hopeless romantic the assignment to write a persuasive essay on relationships is not a good idea, but I will try my best.",True,positive,growth,"['growth', 'impermanence', 'self_affirmation']",giving a hopeless romantic the assignment to write a persuasive essay on relationships is not a good idea
POS_0138,"I don't want to leave the last season of my life behind, but I'm so looking forward to a new one.",True,positive,optimism,"['impermanence', 'optimism']",Don't know how I feel about alot of thingsit hurts to think this was only a season confused
POS_0091,"I'm thankful for the way I am, I am patient, and I listen to other's people problems.",True,positive,self_affirmation,"['self_affirmation', 'thankfulness']","Quick to listen, slow to speak, slow to anger. Just what I need right about now."
ENEG_0016,Finding another gray hair because I'm so stressed out. People seriously have no idea what Im dealing with right now.,False,easy_negative,thankfulness,['thankfulness'],Finding another gray hair because I'm so stressed out. People seriously have no idea what Im dealing with right now.
POS_0088,I think I should try to get some holiday time fitted in somewhere then I'll be happy.,True,positive,optimism,"['neutralizing', 'optimism']","I seriously need another weekend. Like now, and this one isn't even over yet. tothemax"" amen"
HNEG_0011,I have an English essay I have lot works upcoming I need to be productive.,False,hard_negative,neutralizing,['neutralizing'],"I have an English essay, a chem project, and part of my AP Psych project due this week. Ugh"
POS_0096,Not having anything in my life motivates me to achieve my goals,True,positive,growth,['growth'],"No car , no job , failing a iba already . Wtf am I gunna do ?"
HNEG_0065,Under Pressure? We understand. It can be a challenge working that way. We can help you.  entrepreneur.,False,hard_negative,neutralizing,['neutralizing'],"Stressed? We understand. But, we also know you can't work that way. We can help. entrepreneur"
HNEG_0062,Skipping English will no longer be an option! I will plan myself and start my homework early.,False,hard_negative,impermanence,['impermanence'],Skipping English again today because I literally don't even have one hour to waste when I could be using that hour to do homework
HNEG_0045,Waiting for Friday when I will have all the transcripts for ready reference.,False,hard_negative,impermanence,['impermanence'],Cringing over the fact that transcripts come out tomorrow and I won't see it till Friday
POS_0077,"I feel bad right now, but things are going to get better soon.",True,positive,optimism,"['impermanence', 'optimism']",I feel so under pressure I don't want to do anything i feel terrible :\ feelingbad sad
POS_0146,The secret to better eyesight is to manage your stress levels better.,True,positive,optimism,['optimism'],Are you feeling ? Persistent stress can cause eye-related and vision problems like blurry vision and dry eyes! Manage your stress to look after your eye health!
POS_0033,"Ok the Lakers might not play the exact way I like, but hey, they went 52-19 last season. Can't complain about a record like that!",True,positive,optimism,"['optimism', 'thankfulness']",Lakers have become too perimeter oriented late in the 4th. They are in the bonus so should have force to get into the paint.
POS_0021,"I am glad there is so much on right now, like the Patriots game and baseball.",True,positive,thankfulness,['thankfulness'],There is so much on right now. USOpen finals. Patriots game and the RedSox / Yankees game. hahahahahaha
POS_0070,"Luckily I have so much keeping me going these days, sleep is the last thing I think about.",True,positive,optimism,"['optimism', 'thankfulness']",Can not sleep!! Starting to be a regular thing n I hate it!! So much on ma mind :(..
POS_0060,This stress is affecting me a lot. I hope to get out of this soon.,True,positive,optimism,"['neutralizing', 'optimism']",Being this stressed out is not ok and it is definitely taking a toll on me.
POS_0084,"Today was productive because I spent the major part of the day researching graduate schools, veterinary schools and the Peace Corp.",True,positive,optimism,['optimism'],"I have spent the majority of today researching graduate schools, veterinary schools, and the Peace Corp."
POS_0124,My plans usually don’t work out which is the reason for my stress. But this too shall pass and I shall succeed in everything.,True,positive,optimism,"['impermanence', 'optimism']",People wonder why I'm always stressed. Nothing of mine EVER works out as planned. -__-
ENEG_0001,"I leave college at the end of this month, and I have so much to do in such little time",False,easy_negative,impermanence,['impermanence'],"I leave college at the end of this month, and I have so much to do in such little time"
HNEG_0041,One day I will leave this job and my last day is going to feel so good.,False,hard_negative,impermanence,['impermanence'],i hate alot of things in life but my job is joint number one with man united fansyes i hate it that much
HNEG_0004,Finding a place to live is hard but I will only settle for somewhere decent to live.,False,hard_negative,neutralizing,['neutralizing'],Whyyyy is finding an apartment for this April so hard?!? C'mon people. I need a place to live.
ENEG_0055,It's almost birthday and I have absolutely no idea on what I should get him,False,easy_negative,self_affirmation,['self_affirmation'],It's almost birthday and I have absolutely no idea on what I should get him
HNEG_0054,"If each week had equal amounts of work to be completed, I would have been happier.",False,hard_negative,neutralizing,['neutralizing'],I hate how one week I have moderate work then the following week everyone on earth has a task for me to do .
POS_0104,"Even though there's a lot of papers handed out, I'm glad they will all help me with the exams.",True,positive,growth,"['growth', 'optimism', 'thankfulness']","I hate all the millions of packets, papers, and assignments teachers give during finals week.  seriouslywtf"
HNEG_0069,"This has been an unprecedented week. We must all follow the CDC science, so we can come out stronger and healthy on the other side.",False,hard_negative,impermanence,['impermanence'],"In one week Ive had my university shut, my work shut meaning I now have no income and my Mothers Day gig cancelled (again a loss of income). This is TERRIFYING!! Stay inside please people, everyone needs this to be over so they can earn a living again!"
ENEG_0035,I've got soooo much work to do and I'm sat in children's a&e with my little brother :(,False,easy_negative,impermanence,['impermanence'],I've got soooo much work to do and I'm sat in children's a&e with my little brother :(
POS_0122,"I will take good care of my health, so I won't get sick when the next school year starts!",True,positive,growth,['growth'],Before senior year I used to never get sick. I've literally been sick 10 times since school started.
POS_0010,I need to learn how to relax and control myself! Everything happens for a reason!,True,positive,growth,"['growth', 'impermanence']",Hate being pissed off  need to go home to see mother Theresa and the father
POS_0121,"Even though I might be tempted or stressed, I'm not going to resort to smoking cigarettes.",True,positive,growth,['growth'],I don't smoke but seriously I need a hookah hit or something every shift! This will cause me to smoke ciggs wontgivein
POS_0072,"So lucky to be going on a trip to Europe, it's good I'm keeping myself busy with my commitments as well.",True,positive,growth,"['growth', 'neutralizing', 'optimism']","Between planning a trip to Europe, being an event intern, midterms, work, and keeping up with friends I'm about to go crazy"
ENEG_0056,Just feel like crying everything is getting on top of me grrrr angry tomuch canttakemuchmore,False,easy_negative,optimism,"['neutralizing', 'optimism']",Just feel like crying everything is getting on top of me grrrr angry tomuch canttakemuchmore
POS_0030,My friend gifted me a Chromebook to use for conventions since my old laptop died. Now I'm working on how to get my panels to work on it.,True,positive,growth,['growth'],"TMW your friend gifts you a Chromebook to use for conventions since your old laptop died, and you can't figure out how to get your panels to work on it."
POS_0007,"Hi Meg, I just sent a support ticket to Lulu about an error on a recent order. I hope to get a response soon.",True,positive,optimism,"['neutralizing', 'optimism']","Hi Meg, Just sent a support ticket to Lulu about an error on a recent order. Wondering how long a response will take?"
POS_0061,Working for the public is an important thing to do because it helps people directly.,True,positive,optimism,['optimism'],Everyone should work for the public at least for a day! Then they would understand. firstofthemonth
POS_0078,"Ice tea is the best, so cool I got to drink an entire gallon of it.",True,positive,optimism,"['neutralizing', 'optimism']",I virtually crushed an entire gallon of Turners Ice Tea from kickoff to the end of the Steelers game
HNEG_0028,"Even though things may be different for other people, I know that it ok.",False,hard_negative,neutralizing,['neutralizing'],One rule for you and another for me I guess Roll on tonight with the other half cantbebothered
HNEG_0073,"Lordgive strength to Ahmad Jauhari Yahya, CEO of Malaysia Airways. The problematic MH Flights are calling for some crisis management!",False,hard_negative,neutralizing,['neutralizing'],"Lordgive strength to Ahmad Jauhari Yahya, CEO of Malaysia Airways. The doomed MH Flights are calling for serious crisis mgmt!"
POS_0004,"I am exhausted in life, but I wish to hold on and become successful.",True,positive,optimism,['optimism'],This life has got me rundown and spinning out and I'm not sure how long I'll hold up
ENEG_0071,The one thing I hate about this job is not having time to do anything. .,False,easy_negative,neutralizing,['neutralizing'],The one thing I hate about this job is not having time to do anything. .
POS_0082,"Getting old is about learn how to deal with life events impermanence, i.e, accept them. I'm on the way!",True,positive,optimism,['optimism'],Literally when one thing gets solved something else pops up and I cant handle this no more. Beyond
ENEG_0029,Everyday I leave school with a developed migraine from the one I had when I woke up,False,easy_negative,growth,"['growth', 'neutralizing']",Everyday I leave school with a developed migraine from the one I had when I woke up
ENEG_0024,"Sometimes I just wish I could escape to the mountains forever, ski everyday, and not have a care in the world",False,easy_negative,optimism,"['neutralizing', 'optimism']","Sometimes I just wish I could escape to the mountains forever, ski everyday, and not have a care in the world"
ENEG_0019,We leave for vacation in 11 days. It might seem like a long time until you look at my mile long to do list from both work and home.,False,easy_negative,optimism,['optimism'],We leave for vacation in 11 days. It might seem like a long time until you look at my mile long to do list from both work and home.
POS_0095,This bath will be very relaxing.,True,positive,optimism,['optimism'],In a boiling hot radox muscle relax bubble bath hopefully this will chill me out
HNEG_0020,Even though I have a 6 am flight on Friday to JHB at least I will be at my friend's 18th birthday the night before. I will have something to enjoy before the trip.,False,hard_negative,neutralizing,['neutralizing'],"On Friday I have a 6am flight to Jhb, plus I have my friend's 18th birthday the night before. I'm going to die -_-"
POS_0050,I have had an entire week of school so at least I get a break away from it even if I have things to do.,True,positive,thankfulness,['thankfulness'],This entire week of school has me mentally exhausted. Too bad I don't even get a break this weekend. wannabedropout
ENEG_0030,Two days before prom. Andrew steps on my big toe and breaks my nail in half.,False,easy_negative,optimism,"['optimism', 'thankfulness']",Two days before prom. Andrew steps on my big toe and breaks my nail in half.
POS_0076,I'm positive I can make it through the next few weeks while keeping my cool.,True,positive,optimism,"['optimism', 'thankfulness']","If I make it through the next 2 weeks without having a mental breakdown, it'll be a miracle"
POS_0027,"I'm frustrated with my computer, but I have no choice but to redo my work.",True,positive,growth,"['growth', 'neutralizing']",Why does technology hate me so much? Now I have to redo work I just spent an hour on!!
POS_0129,Been a tough day but it’s only Monday so things will get better.,True,positive,optimism,"['optimism', 'thankfulness']","Not a great day its been, like its a Monday sure??..Damn!! What z still keeping me is the moneymoney holds patience mayne..!"
POS_0045,"The days at work, after Christmas, can be hard, but I am thankful for my job.",True,positive,thankfulness,['thankfulness'],"Only been back at work 5 days since the Christmas holidays, and I'm already and tired with the madness of my job."
